Zákazník,Datum,Produkt (produkty)
customer-21348,2023-11-10 22:15:13,"1× book-047, 1× book-061, 1× book-061, 1× book-061, 1× book-006"
customer-7114,2023-11-10 21:40:15,1× book-042
customer-21448,2023-11-10 21:22:19,1× book-042
customer-4557,2023-11-10 21:07:03,2× book-042
customer-8529,2023-11-10 20:10:56,"1× book-042, 1× book-042, 1× book-042, 1× book-051, 1× book-051, 1× book-051, 1× book-107"
customer-15743,2023-11-10 19:59:49,"1× book-042, 1× book-042, 1× book-042, 1× book-032, 1× book-032, 1× book-032, 1× book-023, 1× book-023, 1× book-023, 1× book-051, 1× book-051, 1× book-051, 1× book-059, 1× book-059, 1× book-059"
customer-17700,2023-11-10 19:23:57,1× book-042
customer-5154,2023-11-10 18:45:08,"1× book-047, 1× book-042"
customer-5147,2023-11-10 17:34:05,1× book-042
customer-12253,2023-11-10 17:17:00,"1× book-042, 1× book-042, 1× book-042, 1× book-021"
customer-2941,2023-11-10 16:05:53,1× book-042
customer-1921,2023-11-10 14:58:30,1× book-042
customer-21455,2023-11-10 14:15:04,"1× book-032, 1× book-001"
customer-21456,2023-11-10 13:40:32,1× book-104
customer-18544,2023-11-10 13:19:30,"1× book-061, 1× book-061, 1× book-061"
customer-3101,2023-11-10 12:56:10,1× book-048
customer-3513,2023-11-10 12:38:07,1× book-042
customer-4111,2023-11-10 12:20:20,1× book-042
customer-21460,2023-11-10 12:12:44,"1× book-042, 1× book-023, 1× book-053"
customer-21461,2023-11-10 11:59:05,"1× book-042, 1× book-047"
customer-21462,2023-11-10 11:21:05,1× book-042
customer-4771,2023-11-10 11:03:47,5× book-042
customer-2140,2023-11-10 10:52:40,1× book-042
customer-3349,2023-11-10 10:43:18,"1× book-042, 1× book-110"
customer-21463,2023-11-10 10:15:46,"1× book-042, 1× merch-034, 1× merch-012, 1× book-032"
customer-21465,2023-11-10 09:54:05,1× book-042
customer-20950,2023-11-10 09:37:03,1× book-042
customer-3354,2023-11-10 09:06:33,1× book-042
customer-236,2023-11-10 08:50:21,1× book-042
customer-21466,2023-11-10 08:38:26,"1× book-104, 1× book-104, 1× book-104"
customer-21468,2023-11-10 08:12:41,3× book-042
customer-21469,2023-11-10 07:49:30,1× book-042
customer-2788,2023-11-10 07:28:44,1× book-042
customer-21472,2023-11-10 06:19:19,"1× book-042, 1× book-032"
customer-772,2023-11-09 22:38:11,"1× book-061, 1× book-061, 1× book-061, 1× book-048, 1× book-051, 1× book-051, 1× book-051, 1× book-110"
customer-10957,2023-11-09 21:48:27,1× book-047
customer-13722,2023-11-09 21:37:40,"1× book-014, 1× book-014, 1× book-014"
customer-2445,2023-11-09 21:27:29,1× book-047
customer-179,2023-11-09 20:02:15,1× book-042
customer-3774,2023-11-09 19:15:03,"1× book-042, 1× book-047"
customer-21476,2023-11-09 18:23:43,"1× book-042, 1× book-042, 1× book-042, 2× book-042"
customer-21478,2023-11-09 17:58:23,"1× book-047, 1× book-042, 1× book-012"
customer-2711,2023-11-09 17:42:10,1× book-042
customer-21480,2023-11-09 17:25:29,"3× book-042, 1× book-047"
customer-21481,2023-11-09 17:13:08,"1× book-073, 1× book-073, 1× book-073, 1× book-004, 1× book-004, 1× book-004"
customer-21483,2023-11-09 16:42:04,1× book-042
customer-56,2023-11-09 16:25:44,1× book-042
customer-1876,2023-11-09 16:19:39,1× book-042
customer-4581,2023-11-09 16:11:10,1× book-042
customer-21484,2023-11-09 15:36:41,1× book-042
customer-21486,2023-11-09 15:08:35,"1× book-021, 1× book-042, 1× book-047"
customer-21487,2023-11-09 14:59:51,1× book-042
customer-21488,2023-11-09 14:53:36,1× book-128
customer-21489,2023-11-09 14:46:38,3× book-042
customer-21222,2023-11-09 14:19:25,1× book-042
customer-17050,2023-11-09 14:09:45,"1× book-021, 1× book-042"
customer-2598,2023-11-09 14:07:31,"1× book-042, 1× book-042, 1× book-042"
customer-21492,2023-11-09 14:03:46,1× book-042
customer-21493,2023-11-09 13:40:29,"1× book-003, 1× book-012, 1× book-042"
customer-5045,2023-11-09 13:21:22,1× book-042
customer-21494,2023-11-09 11:33:47,"1× book-039, 1× book-039, 1× book-039"
customer-13938,2023-11-09 11:01:17,1× book-056
customer-21496,2023-11-09 10:28:03,1× book-042
customer-21498,2023-11-09 10:22:40,1× book-042
customer-21499,2023-11-09 10:01:20,1× book-032
customer-21501,2023-11-09 09:53:39,1× book-042
customer-7452,2023-11-09 09:32:50,"1× book-042, 1× book-042, 1× book-042"
customer-21504,2023-11-09 09:09:49,"1× book-104, 1× book-104, 1× book-104"
customer-94,2023-11-09 09:00:45,1× book-042
customer-9812,2023-11-09 08:44:16,"1× book-042, 1× book-021, 1× book-051"
customer-21507,2023-11-09 07:46:12,1× book-032
customer-16083,2023-11-09 06:31:16,"1× book-061, 1× book-061, 1× book-061"
customer-2787,2023-11-08 23:08:24,"1× book-074, 1× book-051, 1× book-113"
customer-21510,2023-11-08 22:01:50,"1× book-042, 1× book-107, 1× book-119"
customer-16878,2023-11-08 21:15:44,1× book-042
customer-3429,2023-11-08 20:27:22,"1× book-029, 1× book-029, 1× book-029"
customer-21511,2023-11-08 20:04:54,"1× book-056, 1× book-056, 1× book-056"
customer-21513,2023-11-08 17:32:18,"1× book-048, 1× book-048, 1× book-048"
customer-21514,2023-11-08 15:04:58,1× book-042
customer-21516,2023-11-08 14:12:55,1× book-042
customer-21518,2023-11-08 13:49:31,"1× book-042, 1× book-012, 1× book-012, 1× book-012, 1× book-051"
customer-11257,2023-11-08 13:18:32,"1× book-101, 1× book-015, 1× book-074"
customer-21520,2023-11-08 12:13:36,"1× book-061, 1× book-107"
customer-177,2023-11-08 09:07:38,1× book-051
customer-13422,2023-11-08 08:33:18,"1× book-051, 1× book-023, 1× book-048"
customer-11386,2023-11-08 07:01:30,1× book-042
customer-21522,2023-11-08 06:58:17,1× book-039
customer-21524,2023-11-07 21:48:42,1× book-103
customer-21524,2023-11-07 20:54:14,1× book-112
customer-21527,2023-11-07 20:43:21,1× book-130
customer-17491,2023-11-07 17:41:51,"1× book-064, 1× book-064, 1× book-064, 1× book-020, 1× book-020, 1× book-020"
customer-21528,2023-11-07 17:21:07,2× book-021
customer-21530,2023-11-07 16:39:25,"1× book-105, 1× book-149, 1× book-034"
customer-21531,2023-11-07 14:38:12,1× book-032
customer-21532,2023-11-07 13:09:25,"1× book-001, 1× book-000"
customer-1862,2023-11-07 11:40:02,"1× book-060, 1× book-000"
customer-21534,2023-11-07 10:36:31,"1× merch-011, 1× merch-012, 1× book-032, 1× book-001, 1× book-000, 1× book-023, 1× book-023, 1× book-023"
customer-21536,2023-11-07 08:19:24,1× book-032
customer-786,2023-11-07 07:40:33,1× book-101
customer-10042,2023-11-07 06:34:42,"1× book-125, 1× book-125, 1× book-125"
customer-21540,2023-11-06 20:49:01,1× book-032
customer-7643,2023-11-06 20:04:23,"1× book-000, 1× book-000, 1× book-000, 1× book-000"
customer-21543,2023-11-06 18:33:53,"1× book-021, 1× book-047, 1× book-000"
customer-21544,2023-11-06 17:31:27,1× book-032
customer-14381,2023-11-06 16:20:25,"1× book-129, 1× book-060, 1× book-143, 1× book-012, 1× book-101, 1× book-059, 1× book-138, 1× book-004, 1× book-011"
customer-1789,2023-11-06 15:52:49,"1× book-047, 1× book-047, 1× book-047, 1× book-047, 1× book-042, 1× book-119, 1× book-119, 1× book-119, 1× book-124, 1× book-124, 1× book-124, 1× book-101, 1× book-101, 1× book-101, 1× book-061, 1× book-061, 1× book-061"
customer-21547,2023-11-06 14:11:28,1× book-038
customer-86,2023-11-06 13:29:36,"1× book-003, 1× book-003, 1× book-003, 1× book-048, 1× book-048, 1× book-048, 1× book-077, 1× book-077, 1× book-077"
customer-3101,2023-11-06 13:10:20,1× book-021
customer-21549,2023-11-06 12:52:47,"1× book-035, 1× book-035, 1× book-035"
customer-21551,2023-11-06 11:53:48,"1× book-032, 1× book-047"
customer-5327,2023-11-06 10:36:47,1× book-021
customer-21552,2023-11-06 10:06:27,"1× book-119, 1× merch-009"
customer-2435,2023-11-06 09:53:23,1× book-042
customer-12923,2023-11-06 09:02:40,1× book-107
customer-15191,2023-11-06 08:25:53,1× book-021
customer-21555,2023-11-06 06:21:22,"1× book-073, 1× book-073, 1× book-073"
customer-21267,2023-11-05 23:32:50,1× book-039
customer-21557,2023-11-05 22:17:03,"1× book-072, 1× book-072, 1× book-072"
customer-752,2023-11-05 21:26:04,"1× book-042, 1× book-061, 1× book-059"
customer-3602,2023-11-05 20:00:23,"1× book-051, 1× book-047, 1× book-042"
customer-14594,2023-11-05 18:35:57,"1× book-042, 1× book-021"
customer-21560,2023-11-05 17:12:34,"1× book-021, 1× book-061"
customer-21562,2023-11-05 15:55:25,1× book-110
customer-21564,2023-11-05 14:26:36,"1× book-000, 1× book-001"
customer-21565,2023-11-05 14:14:23,1× book-135
customer-21566,2023-11-05 13:22:29,"1× book-048, 1× book-015, 1× book-007, 1× book-038"
customer-21568,2023-11-05 12:39:52,1× book-042
customer-21569,2023-11-05 12:18:13,"1× book-032, 1× book-000"
customer-21570,2023-11-05 12:08:48,1× book-048
customer-4414,2023-11-05 11:16:10,"1× book-124, 1× book-124, 1× book-124, 1× book-012, 1× book-012, 1× book-012"
customer-21573,2023-11-05 10:57:44,1× book-029
customer-8066,2023-11-04 23:41:07,"1× book-042, 1× book-118, 1× book-118, 1× book-118"
customer-21575,2023-11-04 21:27:19,"1× book-032, 1× book-032, 1× book-032, 1× book-000, 1× book-000, 1× book-000, 1× book-000, 1× book-001, 1× book-001, 1× book-001"
customer-21576,2023-11-04 19:14:11,"1× book-015, 1× book-015, 1× book-015"
customer-21360,2023-11-04 19:01:52,4× book-042
customer-7297,2023-11-04 18:48:40,1× book-021
customer-21579,2023-11-04 17:51:23,1× book-001
customer-21580,2023-11-04 16:28:48,1× book-003
customer-13047,2023-11-04 14:48:50,"1× book-005, 1× book-005, 1× book-005, 1× book-006, 1× book-006, 1× book-006"
customer-2296,2023-11-04 13:26:44,"1× book-010, 1× book-011"
customer-21583,2023-11-04 11:10:23,"1× book-014, 1× book-014, 1× book-014"
customer-21585,2023-11-04 09:25:55,1× book-011
customer-21587,2023-11-04 09:09:11,"1× book-014, 1× book-014, 1× book-014"
customer-21589,2023-11-04 07:22:39,1× book-015
customer-21590,2023-11-03 18:49:06,1× book-011
customer-21591,2023-11-03 18:34:48,1× book-018
customer-21593,2023-11-03 17:36:43,"1× book-021, 1× book-021, 1× book-021"
customer-21595,2023-11-03 16:28:45,1× book-021
customer-21597,2023-11-03 15:42:41,2× book-011
customer-2618,2023-11-03 14:47:10,"1× book-026, 1× book-026, 1× book-026"
customer-21600,2023-11-03 14:14:18,1× book-000
customer-21602,2023-11-03 13:43:35,"1× book-027, 1× book-024"
customer-16206,2023-11-03 13:04:52,1× book-028
customer-839,2023-11-03 12:40:21,"1× book-027, 1× book-029, 1× book-030"
customer-21604,2023-11-03 12:07:15,1× book-028
customer-21606,2023-11-03 11:04:23,"1× book-032, 1× book-032, 1× book-032"
customer-5327,2023-11-03 10:43:52,1× book-054
customer-21608,2023-11-03 09:53:00,"1× book-056, 1× book-056, 1× book-056"
customer-21610,2023-11-03 08:45:45,1× book-059
customer-21612,2023-11-03 08:28:45,1× book-059
customer-21613,2023-11-03 07:54:39,1× book-059
customer-755,2023-11-02 22:30:46,1× book-061
customer-8491,2023-11-02 21:26:14,1× book-042
customer-21615,2023-11-02 20:42:42,1× book-042
customer-21616,2023-11-02 20:16:32,"1× book-020, 1× book-020, 1× book-020"
customer-12394,2023-11-02 19:09:53,1× book-059
customer-21619,2023-11-02 17:09:06,"1× book-021, 1× book-042, 3× book-047"
customer-21620,2023-11-02 16:34:27,1× book-021
customer-2136,2023-11-02 15:18:59,1× book-021
customer-21622,2023-11-02 14:44:16,"2× book-021, 1× book-063, 1× book-063, 1× book-063"
customer-21623,2023-11-02 13:25:27,1× book-012
customer-15767,2023-11-02 13:07:37,1× book-042
customer-21626,2023-11-02 12:53:37,1× book-021
customer-1817,2023-11-02 11:38:30,1× book-067
customer-17942,2023-11-02 08:52:12,1× book-023
customer-130,2023-11-02 08:05:15,1× book-021
customer-21631,2023-11-02 07:19:36,1× book-035
customer-21632,2023-11-02 06:42:57,1× book-070
customer-2867,2023-11-01 22:16:15,"1× book-007, 1× book-007, 1× book-007"
customer-21635,2023-11-01 21:38:52,"1× book-056, 1× book-056, 1× book-056, 1× book-071, 1× book-071, 1× book-071, 1× book-044, 1× book-044, 1× book-044"
customer-21636,2023-11-01 21:26:35,1× book-042
customer-19845,2023-11-01 20:46:48,1× book-042
customer-21639,2023-11-01 20:20:47,"1× book-048, 1× book-008"
customer-21641,2023-11-01 19:18:02,1× book-072
customer-14447,2023-11-01 18:20:25,1× book-042
customer-2250,2023-11-01 16:14:02,"1× book-042, 1× book-061, 1× book-061, 1× book-061, 1× book-061, 1× book-073, 1× book-073, 1× book-073"
customer-21644,2023-11-01 16:08:12,1× book-096
customer-21646,2023-11-01 15:21:18,1× merch-001
customer-21648,2023-11-01 14:16:17,1× book-021
customer-1444,2023-11-01 13:03:16,"1× book-042, 1× book-047, 1× book-097"
customer-8106,2023-11-01 12:23:00,"1× book-006, 1× book-061, 1× book-078, 1× book-048, 1× book-056"
customer-21650,2023-11-01 12:09:53,"1× book-013, 1× book-013, 1× book-013"
customer-21651,2023-11-01 11:50:45,1× book-102
customer-16545,2023-11-01 10:41:21,"1× book-042, 1× book-042, 1× book-042"
customer-21653,2023-11-01 10:21:02,1× book-078
customer-20034,2023-11-01 09:21:53,"1× book-078, 1× book-078, 1× book-078, 1× book-018, 1× book-099"
customer-34,2023-11-01 08:54:57,1× book-047
customer-1699,2023-11-01 08:45:37,"1× book-042, 1× book-059, 1× book-059, 1× book-059, 1× book-000"
customer-94,2023-11-01 08:42:08,1× book-078
customer-21658,2023-10-31 21:04:23,1× book-062
customer-586,2023-10-31 19:56:58,"1× book-042, 1× book-047, 1× book-021"
customer-21661,2023-10-31 18:33:04,1× book-032
customer-21662,2023-10-31 16:15:53,"1× book-061, 1× book-061, 1× book-061"
customer-21645,2023-10-31 14:58:49,"1× book-032, 1× book-001"
customer-5490,2023-10-31 14:39:23,"1× book-084, 1× book-084, 1× book-084, 1× book-061, 1× book-061, 1× book-061"
customer-1959,2023-10-31 13:21:51,"1× book-085, 1× book-085, 1× book-085, 1× book-029, 1× book-029, 1× book-029, 1× book-073, 1× book-073, 1× book-073, 1× book-086, 1× book-086, 1× book-086"
customer-21665,2023-10-31 13:10:00,1× book-047
