Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2013:Q1,Millennial,780034,1961172,684476,399458,183706,107923,108963,79424,397222,1181138,617466,551876,11796
2013:Q2,Silent,21114627,22269803,4750403,974486,5219942,2969912,606291,1854123,5894645,1155176,808409,201620,145147
2013:Q2,BabyBoom,39159715,44876194,9178148,2110734,8111788,9348103,4858470,4134695,7134257,5716479,4252447,1041666,422366
2013:Q2,GenX,10613247,15557026,4778885,1263942,2392402,1287078,1594278,1828123,2412318,4943779,3712959,1134114,96706
2013:Q2,Millennial,863056,2100012,732241,407658,191427,113008,113947,105526,436205,1236956,640784,582794,13378
2013:Q3,Silent,21327691,22457018,4771997,975521,5429883,2936160,594934,1892063,5856459,1129327,785770,201007,142550
2013:Q3,BabyBoom,40387831,46071161,9398535,2110824,8485702,9699724,5009151,4273789,7093436,5683330,4224802,1047372,411156
2013:Q3,GenX,11415457,16403274,4996900,1269872,2602216,1336692,1737902,1970782,2488910,4987817,3739880,1153283,94654
2013:Q3,Millennial,954210,2264093,785634,410245,223036,116786,132561,130786,465045,1309883,668754,628635,12494
2013:Q4,Silent,21502690,22647346,4812806,963980,5673650,2953658,598975,1921402,5722875,1144656,779900,203223,161533
2013:Q4,BabyBoom,41765542,47527236,9542888,2120138,9049365,10000998,5198657,4400210,7214980,5761694,4193769,1050312,517613
2013:Q4,GenX,11835146,16845409,5080356,1267887,2765696,1400195,1898049,1948685,2484541,5010263,3735970,1179574,94719
2013:Q4,Millennial,1079125,2446382,851735,425330,255110,111042,161268,138284,503613,1367257,685405,657359,24493
2014:Q1,Silent,21657946,22799642,4858229,943401,5891379,2943021,593292,1902872,5667448,1141696,771430,199604,170662
2014:Q1,BabyBoom,42922122,48589078,9652860,2122802,9574610,10066033,5252921,4449779,7470073,5666956,4110011,1028759,528186
2014:Q1,GenX,12115472,17128574,5144543,1266538,2911931,1452327,1933360,1900759,2519117,5013102,3729766,1188341,94995
2014:Q1,Millennial,1188653,2634649,925424,446327,284911,119910,174334,130161,553583,1445997,738259,680111,27627
2014:Q2,Silent,21912096,23057415,4904883,933900,6127350,2933615,591926,1966485,5599256,1145320,764735,201851,178734
2014:Q2,BabyBoom,44231763,49816628,9816672,2133213,10131622,10139148,5354576,4629268,7612129,5584866,4024668,1033806,526392
2014:Q2,GenX,12513327,17566125,5292089,1266570,3073300,1504858,2014279,1903611,2511418,5052798,3737971,1217027,97800
2014:Q2,Millennial,1279737,2827881,992677,463861,318496,128452,194222,150296,579878,1548144,806512,711318,30314
2014:Q3,Silent,21797295,22937055,4966867,923204,5973094,2921200,582610,2028571,5541509,1139761,759872,202418,177471
2014:Q3,BabyBoom,44903607,50331889,9964809,2146744,10070536,10186805,5328962,4808236,7825797,5428282,3962558,1033319,432405
2014:Q3,GenX,12477562,17583753,5383954,1273647,2955834,1556183,1985873,1908749,2519513,5106191,3752320,1252651,101220
2014:Q3,Millennial,1356147,2999375,1080072,489933,299610,138895,199532,171154,620179,1643228,864604,754557,24067
2014:Q4,Silent,21894013,23036378,5009195,906494,6113877,2910815,578262,2076022,5441713,1142365,754609,204468,183288
2014:Q4,BabyBoom,45901520,51250362,10046667,2152565,10478668,10253264,5399132,4965047,7955019,5348842,3900016,1037031,411795
2014:Q4,GenX,12686459,17835037,5424732,1276618,3053346,1608516,2038068,1907814,2525944,5148579,3764350,1280057,104172
2014:Q4,Millennial,1477690,3213680,1165124,516084,321964,148366,216312,188040,657790,1735990,922533,787984,25473
