Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2010:Q1,ageunder40,2359764,5987587,2526111,901855,479150,368258,398805,369584,943824,3627823,2646209,939999,41615
2010:Q2,age70plus,12339938,13076229,3343594,674867,2371136,1708996,233497,1200736,3543403,736291,521589,109548,105154
2010:Q2,age55to69,27300537,30673727,6731413,1453047,4472279,6398388,2602669,2727465,6288466,3373190,2598204,488286,286700
2010:Q2,age40to54,16860205,22561702,6701687,1516950,3039033,3247757,2190633,1974695,3890947,5701497,4524927,950274,226296
2010:Q2,ageunder40,2270062,5811721,2457952,886047,408212,370469,378173,407541,903327,3541659,2568137,930345,43177
2010:Q3,age70plus,12894380,13644646,3373643,680383,2780427,1746521,268120,1268290,3527262,750266,538689,112670,98907
2010:Q3,age55to69,28405991,31772732,6731010,1457326,4993192,6599350,2803942,2810097,6377814,3366741,2591821,488417,286503
2010:Q3,age40to54,17086251,22782643,6604999,1514274,3278604,3250131,2321860,1963218,3849557,5696392,4505110,964786,226496
2010:Q3,ageunder40,2372391,5847204,2380938,868381,484660,375868,407833,421708,907815,3474813,2496134,937854,40825
2010:Q4,age70plus,13382574,14151435,3339745,689083,3071903,1790143,288841,1275603,3696118,768861,535614,126130,107117
2010:Q4,age55to69,29118179,32522175,6707680,1464910,5413698,6754655,2949775,2824429,6407028,3403996,2571321,529848,302827
2010:Q4,age40to54,17388596,23034146,6448470,1501250,3485054,3281397,2447835,2030378,3839762,5645550,4414617,1008993,221940
2010:Q4,ageunder40,2489473,5950100,2325248,880259,562334,385599,439061,438290,919309,3460627,2436346,981839,42442
2011:Q1,age70plus,13700476,14491986,3306824,698655,3326902,1809279,302877,1264264,3783185,791510,547893,125008,118609
2011:Q1,age55to69,29575484,32998226,6620507,1482628,5786507,6843862,3035974,2808852,6419896,3422742,2575782,522073,324887
2011:Q1,age40to54,17528957,23123691,6284281,1496922,3658716,3274021,2526192,2083534,3800026,5594735,4384746,997087,212902
2011:Q1,ageunder40,2614881,6053810,2278351,890058,632989,388304,462605,445749,955754,3438928,2411705,984141,43082
2011:Q2,age70plus,13905628,14702417,3339481,714652,3297660,1826259,305435,1258184,3960746,796790,550332,128385,118073
2011:Q2,age55to69,29743534,33184394,6612235,1497076,5777706,6930596,3050834,2803113,6512834,3440860,2584929,534108,321823
