Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1999:Q4,Other,1606990,576092,474203,101890,1030897,107817,20356,22342,10473,11870,9456,3962,5494,258461,23162,27361,125607,191156,228848,16330,296901,296337,208400,70574,1582,15780,565,1310088,4468058
2000:Q1,White,43910227,12851044,10187336,2663708,31059183,2872567,1121053,1192167,970849,221318,688071,601000,87070,10348339,711592,749382,2657104,6104728,4251334,362847,5518695,5502634,3810906,1262661,28123,400944,16061,38391532,79634434
2000:Q1,Black,1818980,680398,507801,172596,1138583,107654,8523,16204,9347,6857,2144,1385,759,111444,75316,54108,175612,498740,61795,27043,421741,419979,278138,132076,1530,8235,1762,1397240,12398546
2000:Q1,Hispanic,1204857,513018,402309,110709,691839,96338,12846,5118,4021,1097,9,0,9,93077,29377,38501,80300,239783,79692,16799,288044,287347,190888,87973,1889,6597,697,916813,7868987
2000:Q1,Other,1646560,594057,493152,100905,1052503,108833,21686,20353,9390,10963,9173,3567,5606,272315,23637,28678,126291,198569,226483,16484,293734,293196,206280,71056,1753,14108,538,1352826,4449880
2000:Q2,White,43997580,13302119,10592333,2709786,30695462,2877445,1093416,1165529,920274,245255,671556,584422,87134,9857780,715572,746713,2620282,6170129,4407548,369492,5626637,5610388,3905385,1294021,25244,385737,16250,38370943,79766422
2000:Q2,Black,1856760,710778,528926,181852,1145982,108600,9223,15773,9013,6760,628,0,628,105007,75401,55402,170675,514058,63779,27437,443253,441484,288198,143948,1390,7948,1769,1413507,12548068
2000:Q2,Hispanic,1208458,523396,410613,112783,685062,91530,11906,5134,3892,1243,9,0,9,89480,29044,38220,81361,241054,80362,16961,295390,294701,197902,89967,1482,5350,689,913068,7926068
2000:Q2,Other,1649285,607995,507707,100288,1041290,109167,22200,18096,8758,9338,8650,2931,5719,257129,23635,28960,122182,204934,229627,16710,294674,294130,206611,73834,1611,12074,544,1354612,4433504
2000:Q3,White,44656123,13703201,10952824,2750377,30952921,2883978,1140768,1135672,882688,252984,685899,598755,87144,9762604,726868,761444,2643006,6245453,4590682,376548,5770041,5753887,4000486,1337952,20242,395207,16154,38886081,79891628
2000:Q3,Black,1904537,734795,550189,184605,1169742,109666,9696,15345,8778,6568,496,0,496,101321,76113,58825,172305,531246,66816,27913,469269,467530,298135,159527,1103,8765,1739,1435268,12708803
2000:Q3,Hispanic,1217570,533412,418261,115151,684158,86717,11106,5110,3778,1332,10,0,10,88175,28931,38603,83827,242660,81870,17149,303489,302818,204679,92144,1019,4975,671,914081,7985565
2000:Q3,Other,1667115,618111,520069,98042,1049004,109650,23377,16335,8314,8020,8508,2669,5839,253752,23940,29985,120537,212043,233910,16967,296698,296159,207146,77449,1308,10256,538,1370417,4421713
2000:Q4,White,44220528,14096921,11307656,2789265,30123607,2975657,1226307,1243763,952102,291661,735845,648678,87168,8594048,729745,742748,2524108,6298571,4674361,378452,5861544,5844693,4076892,1387596,24496,355709,16852,38358984,80008070
2000:Q4,Black,1930192,765547,568074,197473,1164646,111866,10078,16065,9455,6609,2163,1798,365,90377,76205,58339,158950,546503,66391,27709,496965,495149,309316,176975,1464,7394,1815,1433228,12878056
2000:Q4,Hispanic,1211059,539869,423332,116538,671189,83948,10396,5413,3878,1535,11,0,11,80448,28585,37759,82868,243892,80742,17125,311749,311069,212132,95087,1027,2824,680,899309,8051329
2000:Q4,Other,1653351,633514,535034,98480,1019837,111787,24936,15501,9183,6318,8773,2808,5964,220320,23962,29677,113882,218242,235691,17065,298825,298259,206887,81609,1679,8083,566,1354526,4417293
2001:Q1,White,44072177,14755607,11932026,2823582,29316570,3156000,1355877,1173008,790935,382073,722025,633167,88858,7658311,743679,729265,2306867,6371835,4716023,383680,5895399,5879205,4145037,1387174,14682,332313,16194,38176778,80113763
2001:Q1,Black,1956958,807317,600446,206871,1149641,115205,10355,14830,8135,6695,268,0,268,80858,77206,58490,135275,564690,64499,27964,511380,509669,319285,182827,827,6730,1711,1445579,13053135
2001:Q1,Hispanic,1214883,555510,437405,118105,659373,83297,9777,5429,3505,1924,12,0,12,73884,28602,37150,79400,245971,78581,17270,317879,317234,218784,96727,496,1228,645,897004,8127216
