Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2019:Q3,NoHS,2163341,2703457,1043250,301235,225948,396654,170830,184452,381088,540116,340321,176749,23046
2019:Q4,College,77126589,86405459,18175344,2951377,24289594,9835600,7496191,8926921,14730432,9278869,6409576,2207117,662176
2019:Q4,SomeCollege,17896650,21162184,5427879,1347530,2874215,4398006,1913377,1714192,3486985,3265534,2028568,1134882,102084
2019:Q4,HS,11834434,14212269,3955239,1081057,1865619,2546367,1341737,1235712,2186539,2377835,1623862,674125,79848
2019:Q4,NoHS,2107116,2634554,1013382,291380,224561,382752,161397,181977,379106,527439,329314,176066,22059
2020:Q1,College,72478143,81849008,18840283,2995222,18870986,9890142,6686995,9011098,15554282,9370865,6473153,2191712,706000
2020:Q1,SomeCollege,17204746,20445520,5600538,1347965,2126538,4396658,1657166,1763957,3552699,3240774,2041916,1104604,94254
2020:Q1,HS,11278968,13628211,4048927,1083464,1342047,2506441,1155767,1260592,2230973,2349243,1600527,651545,97171
2020:Q1,NoHS,2034885,2538914,1020466,282886,171602,362429,142768,181417,377347,504030,317496,165257,21277
2020:Q2,College,78382229,87810485,19242386,3012493,22813134,10014953,7480002,9037720,16209797,9428256,6554631,2180561,693064
2020:Q2,SomeCollege,18214780,21448858,5708101,1338172,2653311,4423613,1912716,1795987,3616958,3234078,2059792,1081482,92804
2020:Q2,HS,11845781,14156261,4097238,1077154,1656176,2491507,1246133,1275878,2312175,2310480,1579437,642227,88816
2020:Q2,NoHS,2042621,2527535,1014930,272797,188452,347653,139476,179777,384451,484913,306709,158196,20008
2020:Q3,College,81966886,91617859,20065116,3132697,24913526,10125650,7876924,9274060,16229887,9650973,6691094,2219512,740367
2020:Q3,SomeCollege,18867401,22145621,5916983,1362912,2922600,4438649,2040131,1882492,3581855,3278221,2095928,1080435,101858
2020:Q3,HS,12227846,14525676,4224210,1101594,1802832,2468835,1269404,1322136,2336665,2297830,1566561,651823,79446
2020:Q3,NoHS,2044729,2518824,1029833,272429,191478,332388,133159,182184,377352,474094,298035,155850,20209
2020:Q4,College,88322814,98217415,20820700,3245315,28968192,10306445,8519271,9490452,16867039,9894600,6830356,2248973,815271
2020:Q4,SomeCollege,19920583,23233133,6096580,1383010,3444909,4480311,2229634,1960728,3637961,3312550,2125227,1077690,109633
2020:Q4,HS,12841973,15129050,4331156,1122562,2115978,2469966,1323392,1364066,2401929,2287077,1540460,667124,79493
2020:Q4,NoHS,2061893,2525092,1038711,271386,207233,322321,128070,184228,373142,463199,287152,155239,20808
2021:Q1,College,92648444,102731452,21946735,3342116,31401075,10450336,8758796,9686296,17146099,10083008,6952575,2260628,869805
2021:Q1,SomeCollege,20642664,23965142,6374850,1400592,3737785,4498701,2283082,2030187,3639945,3322478,2146866,1059764,115848
2021:Q1,HS,13282412,15535422,4517089,1138180,2280991,2454176,1306429,1401422,2437135,2253010,1515430,661836,75744
2021:Q1,NoHS,2094988,2543769,1067168,274330,211789,310243,119960,185988,374290,448781,277535,150262,20984
2021:Q2,College,98281225,108848144,23922735,3560127,34055691,10614894,9200923,10213832,17279942,10566919,7295096,2377388,894435
2021:Q2,SomeCollege,21626485,25089475,6883766,1456991,4047915,4519892,2401409,2184751,3594751,3462990,2249195,1097099,116696
2021:Q2,HS,13909801,16231401,4892665,1188450,2459208,2442848,1326370,1486635,2435225,2321600,1532233,716899,72468
2021:Q2,NoHS,2162754,2618262,1137701,287393,217674,300000,114434,193745,367315,455508,276170,158843,20495
2021:Q3,College,100912640,111751929,25132083,3729954,34552929,10749652,9228311,10760077,17598922,10839289,7476542,2436613,926134
2021:Q3,SomeCollege,22035226,25541977,7157400,1491429,4064661,4520927,2392482,2339108,3575970,3506751,2292188,1099401,115162
2021:Q3,HS,14134351,16473422,5082507,1221997,2447722,2417140,1283807,1571964,2448286,2339071,1533429,730458,75184
2021:Q3,NoHS,2183348,2635681,1171803,293800,210483,288389,107108,201854,362245,452333,273575,158622,20136
2021:Q4,College,104295024,115427435,25678210,3912831,36305649,10938420,9603894,11073451,17914979,11132410,7674387,2496076,961947
2021:Q4,SomeCollege,22452704,25998427,7231683,1525843,4234694,4538579,2470278,2425880,3571469,3545724,2335661,1103733,106330
2021:Q4,HS,14304890,16680504,5106658,1257056,2538498,2407451,1283158,1620055,2467628,2375614,1532965,752219,90430
2021:Q4,NoHS,2179006,2630790,1171405,300225,211425,280668,101171,206155,359740,451784,271478,160693,19613
2022:Q1,College,104963778,116332343,27646994,4109362,34706375,10834821,9235647,11373932,18425211,11368565,7852635,2537964,977966
2022:Q1,SomeCollege,22456725,26027223,7672325,1563813,3971857,4423236,2325614,2503643,3566735,3570498,2373857,1094112,102529
2022:Q1,HS,14265951,16653666,5406451,1293959,2348242,2289491,1171340,1663543,2480640,2387714,1544364,751640,91710
2022:Q1,NoHS,2207351,2657994,1239827,310701,193322,255664,91337,210613,356531,450643,273132,158505,19006
2022:Q2,College,100501783,112149010,29313726,4230651,29032966,10702530,8393547,11841759,18633831,11647227,8077888,2614814,954525
2022:Q2,SomeCollege,21664068,25271411,8007390,1567744,3212680,4293149,2055433,2618397,3516618,3607343,2415374,1102263,89706
2022:Q2,HS,13724626,16141019,5645801,1306051,1837385,2146434,1000492,1728037,2476819,2416392,1540179,779038,97175
