Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1994:Q3,HS,6560935,2593224,1994301,598922,3967711,658695,60634,182205,140188,42017,53736,25298,28438,530274,126447,155215,225631,1347688,551444,75743,983075,978952,694955,255159,1887,26951,4123,5577860,30552901
1994:Q3,NoHS,2437156,1001574,775955,225620,1435582,306883,9130,73907,65575,8332,12463,2406,10057,110678,44350,43586,36274,531722,237281,29309,253220,251795,161618,83799,721,5657,1425,2183936,18739630
1994:Q4,College,15099757,4647615,3673766,973849,10452142,1200780,302717,1054450,735865,318585,344734,300466,44268,2243845,242507,249879,696858,2070634,1918730,127008,2037960,2030205,1507904,366378,4743,151179,7755,13061797,24851331
1994:Q4,SomeCollege,6563990,2481112,1871746,609366,4082878,575346,86428,265409,189007,76402,76044,44293,31751,761316,114286,89719,219794,1134544,689989,70002,1099124,1095383,779852,285327,3000,27205,3741,5464866,23899200
1994:Q4,HS,6694503,2648080,2033176,614903,4046424,658441,64800,205862,159357,46505,53951,24359,29593,528154,128982,156617,229310,1382426,560463,77418,1027984,1023795,714798,278104,2521,28371,4189,5666520,30790589
1994:Q4,NoHS,2466709,1009126,783109,226017,1457583,302167,9201,78018,69272,8746,12716,1983,10734,108856,46163,44821,37915,544177,243714,29834,263550,262073,163888,91359,870,5955,1478,2203159,18651424
1995:Q1,College,15308520,4632604,3658141,974463,10675916,1218046,314274,1024181,694326,329855,353372,309973,43399,2385166,247264,254308,725614,2084472,1940613,128606,2029218,2021423,1506196,361051,5074,149102,7795,13279302,24730232
1995:Q1,SomeCollege,6691042,2518954,1894004,624951,4172087,584437,90570,257666,178601,79066,70817,42287,28530,810246,116421,89823,237897,1150125,692601,71484,1113089,1109331,787695,292393,3545,25699,3758,5577953,24155899
1995:Q1,HS,6867760,2703361,2071417,631945,4164399,662374,68934,207413,159024,48389,53995,23229,30766,562868,132785,161923,246030,1421092,566916,80068,1048702,1044443,732729,279471,2919,29323,4259,5819058,31017410
1995:Q1,NoHS,2508635,1020980,791641,229338,1487655,298606,9239,81015,72092,8924,13180,1604,11576,112554,48194,46741,40409,557379,249609,30729,265567,264036,165816,91631,939,5651,1531,2243069,18557219
